strategy,num_urgent,rule,replication,elAppWT,elScanWT,urScanWT,OT,OV
S1,12,2,2,5.970943749941368,0.14509812191791235,3.2355252225933944,1.2040425859765875,0.39504413435526625
S1,12,2,3,5.431963756551669,0.142882125718977,3.0901572179773913,1.1361593786151536,0.3756839195960098
S1,12,2,4,5.2420610173233895,0.14071296135524364,3.123748770849133,1.1498684564446549,0.3782859409117492
S1,12,2,5,5.334962941065377,0.1450471249701067,3.2387696349717103,1.2201282315931372,0.3916190245666903
S1,12,2,6,6.14113053141998,0.14982926082487558,3.1577725959096425,1.2159525188176232,0.38741797016904744
S1,12,2,7,5.555346557914535,0.1446029253987149,3.0056854262879247,1.1962328882870943,0.3670325864005305
S1,12,2,8,5.54895337888693,0.14903498908131202,3.1375271469521846,1.067777423777895,0.3816436118372681
S1,12,2,9,5.454774872183575,0.13938328415081885,3.072671403481241,1.2189207764699137,0.37387683176884967
S1,12,2,10,5.834900145785829,0.1413320637705535,3.05748691896298,1.180756441938846,0.37445231726048483
S1,12,2,11,5.443208045194682,0.14060000516954102,3.0859861327584213,1.2109595881785407,0.3752873959723326
S1,12,2,12,5.528360623827988,0.13887042822854567,3.081381529657435,1.1587597205712001,0.3752826339926594
S1,12,2,13,5.933062218451003,0.15027083248947462,3.10183448910759,1.2324048301663606,0.3799641231059088
S1,12,2,14,5.592217724336724,0.14419319553097332,2.9794432224153033,1.179904706759087,0.36433625719894275
S1,12,2,15,5.630816294755922,0.14403177948925908,3.0394118134318218,1.1906512436084418,0.37122918737390825
S1,12,2,16,5.862623956219497,0.1463092455160053,3.085113186917371,1.1689570288314883,0.3776869252699033
S1,12,2,17,5.466656088713604,0.1447660883247541,3.0927902146664104,1.1478815574734584,0.3761829767608329
S1,12,2,18,5.419557490920892,0.14168562058798084,3.185833344673638,1.248491240660082,0.3862407535208064
S1,12,2,19,5.4229848099335225,0.14525620588814053,3.102647813075825,1.176477123039966,0.37701831738501346
S1,12,2,20,5.637317369613708,0.14262439719741127,3.064578035662067,1.1809210676408517,0.37406413116253345
S1,12,2,21,5.28169010603999,0.138995971865323,3.1626960070634516,1.2052834324471402,0.3828492990350659
S1,12,2,22,5.1987712652468785,0.1455459863711767,3.129717610073132,1.2033474891351976,0.37869146817427785
S1,12,2,23,5.653744603113515,0.14415485629922,3.097968956564295,1.1728878072286921,0.3778720146367878
S1,12,2,24,6.058230580367182,0.14493953011871025,3.0568094579775895,1.1542480198613643,0.3757063916425527
S1,12,2,25,5.75554135951257,0.14386151782907436,3.1246826755532147,1.1925727396417085,0.3814461387093605
S1,12,2,26,5.1970889481499025,0.14196933637013798,3.182625972344031,1.1745435077332933,0.38456016130102266
S1,12,2,27,5.576364405257914,0.1465937604645661,3.1310123743625327,1.1455134402218863,0.3810829090874515
S1,12,2,28,5.699766040540551,0.14571227884697613,3.0643686530825356,1.1672857922081756,0.37441258471080086
S1,12,2,29,5.585127805118456,0.14519001370659734,3.3069222821860045,1.1895422384163505,0.4006806174955786
S1,12,3,0,4.829509830954767,0.17438644281943042,3.1390832798836636,1.2430486872712339,0.3775341134252965
S1,12,3,1,5.571523415032217,0.17632376554491247,3.2106949778072007,1.2475146544999427,0.3899077162744045
S1,12,3,2,5.993322626251045,0.176207303621941,3.3293122832390356,1.2701197324873825,0.40559812646853
S1,12,3,3,5.46936335494524,0.17346728339912484,3.1784511909870203,1.2050003716657125,0.38571697769862867
S1,12,3,4,5.244988961335385,0.17360811975099177,3.2186064607189553,1.2213694687715897,0.388843112468785
S1,12,3,5,5.286708647475722,0.17798995821759392,3.333047298098732,1.2887442994347609,0.401807092531659
S1,12,3,6,6.131126370243753,0.17681425983518953,3.254542884477394,1.2889641527998184,0.3981106758759232
S1,12,3,7,5.534661897418526,0.17576345470054552,3.0972272421040112,1.262983666318996,0.37708077628984166
S1,12,3,8,5.538081492765932,0.17882112570586223,3.2358802246633784,1.1400530072431294,0.39250701797509324
S1,12,3,9,5.4788568686185135,0.1739324540940578,3.1624725611750812,1.2878281189142937,0.38399808339615094
S1,12,3,10,5.822000103490608,0.17437989026556305,3.153362607704157,1.2490471967736714,0.3850283855990171
S1,12,3,11,5.446448719254884,0.17375817067537686,3.1791707947992185,1.281055141589322,0.3856605370367478
S1,12,3,12,5.506762927582256,0.17248163351127843,3.1682827106364315,1.2232499738522549,0.38480976305235504
S1,12,3,13,5.9308204617610345,0.17867777010501829,3.1932935394324238,1.301769564907161,0.3901128960188469
S1,12,3,14,5.5550059471107485,0.17669386767169196,3.072362265841222,1.242696932403439,0.374439096683414
S1,12,3,15,5.598613808077415,0.17444406032520132,3.1273358403398044,1.2572798625686799,0.38080684222869304
S1,12,3,16,5.891735240156152,0.17619173322881798,3.174238208796654,1.2340691431370967,0.3877629869307164
S1,12,3,17,5.430481202092294,0.17959408826599738,3.188894774476914,1.2120704406028593,0.386645934478143
S1,12,3,18,5.460620463569136,0.1751076633890307,3.2803554071793295,1.3183195322323262,0.3969876273665672
S1,12,3,19,5.356711562437097,0.17680855980519583,3.1959906725020626,1.250685201053912,0.3869952625941008
S1,12,3,20,5.662566835044931,0.17368914393591828,3.1494672071769814,1.2455688752713758,0.38364655576794787
S1,12,3,21,5.264685139510088,0.17347889133089864,3.2472489332813534,1.2744721651036555,0.3921428485759644
S1,12,3,22,5.1845959161789095,0.17828470481632197,3.2228457582721393,1.2712167831880385,0.38895466311860416
S1,12,3,23,5.656463539707207,0.1751510826649004,3.182733112648939,1.236705591192319,0.38730643834813927
S1,12,3,24,6.036980055230641,0.17554316429533987,3.1493341903065812,1.2214561270546456,0.3858604262358343
S1,12,3,25,5.781126001746424,0.1735076635017422,3.218138165628166,1.263225913608044,0.3919823715881281
S1,12,3,26,5.183527459936329,0.17436679960857063,3.274795056405573,1.2410933197329892,0.3947204474970656
S1,12,3,27,5.586501935386938,0.17567386853437322,3.2184617147365917,1.2063386906385025,0.39085984490359116
S1,12,3,28,5.697414451911792,0.1774544673337505,3.1499898066423815,1.2369343984372498,0.38391204866608875
S1,12,3,29,5.58443797916685,0.1756795503226796,3.389434776136212,1.2584311381194542,0.40984456627208016
S1,12,4,0,4.47306881410242,0.07599346264924746,3.102568342190531,1.2377853770741245,0.37135522540670035
S1,12,4,1,5.1701766788868255,0.07721236199185415,3.170873783453164,1.2392137347920562,0.3830941704564239
S1,12,4,2,5.624728645518359,0.07432059959229953,3.2859124282088383,1.2589238058260055,0.3985819085639881
S1,12,4,3,5.075315735897629,0.07578664389516662,3.141714800261025,1.201367119624106,0.3792896349649013
S1,12,4,4,4.8436767425251395,0.07455584018066282,3.174875882047377,1.2080365566814861,0.38159539607585025
S1,12,4,5,4.9576765604024455,0.07768861480112595,3.29475613407717,1.2822576109970685,0.3955939944236683
S1,12,4,6,5.790189065298863,0.07682369829637996,3.211648439775447,1.2837649132553368,0.39131523774468574
S1,12,4,7,5.165070644680577,0.07531160869673073,3.0563362295462144,1.2524918903722995,0.37033738251712245
S1,12,4,8,5.143757649349564,0.07829239188734297,3.194823106165001,1.13271486796831,0.3855979501850967
S1,12,4,9,5.106887171648847,0.07508999516120628,3.122213526971338,1.2780458944972835,0.37731075203440767
S1,12,4,10,5.411179576210158,0.07570932218293938,3.104553078421071,1.240082342136924,0.37715974428613186
S1,12,4,11,5.036186584730899,0.07621586244657445,3.142469974019841,1.2719492462863717,0.37914063154623767
S1,12,4,12,5.165583320073759,0.07423249437808324,3.1279244329463323,1.214393487991067,0.3782946789786029
S1,12,4,13,5.557942187384146,0.07886371020087304,3.155726057689766,1.296660316906579,0.3837192178428161
S1,12,4,14,5.2335355675435045,0.07716734664794504,3.031229624177339,1.2361071540569932,0.367955289001114
S1,12,4,15,5.2324592787700785,0.07592358672637377,3.090300727877271,1.2510440355337196,0.37451233848697896
S1,12,4,16,5.498858401920871,0.07752912263696955,3.1325619191748375,1.2246406195941884,0.3807937354753046
S1,12,4,17,5.081466179416538,0.07988846373190689,3.1475264292517684,1.2069962130753176,0.379971981302279
S1,12,4,18,5.022711424061033,0.07737345141198895,3.2415282096797076,1.3118440591141463,0.39006689288541013
S1,12,4,19,5.034376083180989,0.07882731107049157,3.157238166419862,1.2415783659854718,0.3807707650179667
S1,12,4,20,5.269890427347124,0.07554004536504587,3.111359185091458,1.2401295446740763,0.3770749715221488
S1,12,4,21,4.90334669568944,0.07493349070220719,3.209188333938292,1.267838508794716,0.38576306902304097
S1,12,4,22,4.826989069485327,0.07923795227910226,3.182381919442167,1.2652572492630856,0.38233006884368514
S1,12,4,23,5.264176078802987,0.07526525628503555,3.14649848652655,1.2318802848744344,0.38094532436884077
S1,12,4,24,5.650581091500068,0.0774278707320595,3.111683963370778,1.2160283232695732,0.37937707385568203
S1,12,4,25,5.38272286038517,0.07435111184668358,3.176781566761727,1.2594582019342981,0.38501574666629407
S1,12,4,26,4.810543932529359,0.07553438062619641,3.2335524061266803,1.2324255323093543,0.38791779075532173
S1,12,4,27,5.1954520275462865,0.07578557831005664,3.1836586024884643,1.2036415774454505,0.38466515440871596
